City,State,Latitude,Longitude
Cohocton,New York,42.4999,-77.4999
Norristown,Georgia,32.5063,-82.4981
Wilton,Minnesota,47.5063,-94.9974
Cinnaminson,New Jersey,39.9968,-74.9927
Hubbell,Nebraska,40.0087,-97.4966
Fredericktown,Pennsylvania,40.0019,-80.0092
Clearwater,Kansas,37.5093,-97.4975
Slaughters,Kentucky,37.4902,-87.5022
Warren,Illinois,42.4948,-89.9913
La Veta,Colorado,37.5086,-105.0086
Patton,Missouri,37.5023,-90.0134
Apison,Tennessee,35.0104,-85.0089
Moss Beach,California,37.5184,-122.5036
Virginia,Minnesota,47.5172,-92.5121
Marietta,South Carolina,35.021,-82.5015
Svea,Minnesota,45.0033,-95.0214
Colvos,Washington,47.4762,-122.4907
Glendo,Wyoming,42.5041,-105.0253
La Plata,Missouri,40.0242,-92.4914
Silver Gate,Montana,45.0197,-109.9829
Sumatra,Florida,30.023,-84.9825
Gueydan,Louisiana,30.029,-92.507
Weeksville,Montana,47.5309,-115.0082
Merkel,Texas,32.4698,-100.0111
Pikeville,Kentucky,37.4808,-82.5261
Saint Joseph,Tennessee,35.033,-87.5008
Mariposa,California,37.4873,-119.9682
Lilesville,North Carolina,34.9675,-79.9845
Fillmore,Missouri,40.0254,-94.9731
Hebron,Ohio,39.9644,-82.4898
Alba,Michigan,44.9786,-84.9695
Ellenton,Florida,27.5266,-82.5261
Richmond,Virginia,37.5295,-77.4756
Wausa,Nebraska,42.4978,-97.5394
Sun Valley,Arizona,34.9835,-110.0375
Lida,Nevada,37.4583,-117.4981
Kramer Junction,California,34.9925,-117.5417
Arabi,Louisiana,29.9561,-89.9986
Chilton,Kentucky,37.4551,-84.9875
Gettysburg,South Dakota,45.0059,-99.9537
Phenix City,Alabama,32.4587,-85.0251
Cedar Falls,Iowa,42.5195,-92.4534
Ridge,Montana,45.0469,-105.0203
Uniontown,Alabama,32.449,-87.4958
Seama,New Mexico,35.0441,-107.5271
Choudrant,Louisiana,32.551,-92.5118
Southaven,Mississippi,34.9514,-89.9787
Shippensburg,Pennsylvania,40.0485,-77.5227
Eastgate,Texas,30.0555,-95.0119
Erie,Colorado,40.041,-105.0393
Roberts,Wisconsin,44.9732,-92.5506
Rancho Tehama Reserve,California,40.001,-122.4418
Godley,Texas,32.4512,-97.5322
Washington,Oklahoma,35.0582,-97.4923
Bellevue,Michigan,42.4443,-85.0187
Minneola,Kansas,37.4421,-100.0131
Alstown,Washington,47.561,-119.9951
Cayuga,Indiana,39.9474,-87.4646
Marshall,Washington,47.5649,-117.4994
Red Rock,Texas,29.9597,-97.4461
Gladewater,Texas,32.5435,-94.9452
Alton,Utah,37.4303,-112.5062
Competition,Missouri,37.4837,-92.4291
Brazilton,Kansas,37.5598,-94.9575
Lynn,Indiana,40.0488,-84.9424
Sac City,Iowa,42.4217,-94.9979
Millers Falls,Massachusetts,42.5792,-72.4925
Oneonta,New York,42.4551,-75.0666
Butte Falls,Oregon,42.5414,-122.5692
Conway,Arkansas,35.0753,-92.4695
Arbon,Idaho,42.4557,-112.5683
Tallula,Illinois,39.9457,-89.9365
Edgar,Wisconsin,44.9227,-89.9635
Hurdsfield,North Dakota,47.4468,-99.931
Wallace,South Dakota,45.0845,-97.4781
Nutt,New Mexico,32.5729,-107.4495
Johnstown,Nebraska,42.5721,-100.0563
Red Oak,Oklahoma,34.9508,-95.0814
North Troy,Vermont,44.9963,-72.4038
Maurine,South Dakota,45.023,-102.5935
Chapman Ranch,Texas,27.5864,-97.4533
Dukes,Florida,29.9664,-82.4073
Florey,Texas,32.4529,-102.5899
Goffs,California,34.9192,-115.0628
Canton,Mississippi,32.5976,-90.0315
Richlands,North Carolina,34.9004,-77.5421
Augusta,Montana,47.4893,-112.3922
Vernon,Utah,40.0956,-112.4457
Paulden,Arizona,34.8899,-112.4938
New Castle,Virginia,37.5013,-80.1119
Eckley,Colorado,40.1126,-102.4885
Marbleton,Wyoming,42.5574,-110.1005
Two Buttes,Colorado,37.5606,-102.3964
Doyle,California,40.0275,-120.1173
Algonac,Michigan,42.6208,-82.534
Massena,New York,44.9292,-74.8923
Castleford,Idaho,42.5206,-114.8717
Portland,North Dakota,47.4995,-97.3693
Kiawah Island,South Carolina,32.6159,-80.0607
Hendley,Nebraska,40.1313,-99.9711
Plush,Oregon,42.4051,-119.8993
Bingham,Maine,45.0582,-69.873
Pondosa,Oregon,45.0079,-117.6427
Lonerock,Oregon,45.0888,-119.884
Cherry Creek,Nevada,39.9005,-114.8859
Emerson,Texas,30.1488,-102.5363
Muddy Gap,Wyoming,42.3516,-107.4573
Marinette,Wisconsin,45.0873,-87.6324
Richey,Montana,47.6439,-105.0695
Wyola,Montana,45.1154,-107.3738
Vinson,Oklahoma,34.9006,-99.8598
Molalla,Oregon,45.1502,-122.5844
Coffee Creek,Montana,47.3477,-110.0816
Vance,Texas,29.8158,-100.0137
Dunn Center,North Dakota,47.3527,-102.6233
Hereford,Texas,34.8232,-102.4001
Myton,Utah,40.1933,-110.0625
Dilia,New Mexico,35.1931,-105.0636
Alamo,Nevada,37.3648,-115.163
Rushville,Nebraska,42.7134,-102.4665
Gadsden,Arizona,32.5564,-114.781
Brusett,Montana,47.4253,-107.2668
Dillon,Montana,45.2177,-112.6348
Bayfield,Colorado,37.2353,-107.5948
Willcox,Arizona,32.2514,-109.8359
Orange Beach,Alabama,30.2941,-87.5851
Ankona,Florida,27.3406,-80.275
Ruidosa,Texas,29.9829,-104.6794
New Cuyama,California,34.9421,-119.6806
Winthrop Harbor,Illinois,42.4805,-87.8291
North East,Pennsylvania,42.2134,-79.8333
Hovland,Minnesota,47.8388,-89.972
Big Creek,Idaho,45.1271,-115.3243
Mexican Hat,Utah,37.1731,-109.8731
Dunken,New Mexico,32.8129,-105.2025
Coronado,California,32.664,-117.16
Copper Harbor,Michigan,47.47,-87.8766
Hamilton,Colorado,40.3672,-107.6131
North Key Largo,Florida,25.2574,-80.3242
Arock,Oregon,42.914,-117.5252
Ranchos Penitas West,Texas,27.6745,-99.6035
